 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  580.628561  580.597195  580.513859  580.343787  580.020407  579.431693  578.402820  576.679750  573.920111  569.753979  558.296794  556.295346 
Temperature ,  580.628561  580.597195  580.513859  580.343786  580.020406  579.431690  578.402815  576.679740  573.920094  569.753962  558.296833  556.295507 
Temperature ,  580.628561  580.597195  580.513858  580.343786  580.020405  579.431688  578.402809  576.679728  573.920072  569.753926  558.296777  556.295486 
Temperature ,  580.628561  580.597195  580.513858  580.343785  580.020403  579.431685  578.402803  576.679716  573.920048  569.753883  558.296682  556.295386 
Temperature ,  580.628561  580.597195  580.513858  580.343785  580.020403  579.431685  578.402803  576.679716  573.920049  569.753884  558.296685  556.295389 
 
 rod_temps   0.72000000000000031     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  584.846267  584.793606  584.658255  584.395343  583.922187  583.106656  581.752583  579.586802  576.252617  571.379277  558.174449  555.718376 
Temperature ,  584.846630  584.794108  584.659135  584.397021  583.925448  583.112930  581.764364  579.608216  576.290078  571.441759  558.306671  555.873293 
Temperature ,  584.846878  584.794457  584.659766  584.398262  583.927933  583.117857  581.773897  579.626058  576.322182  571.496746  558.426477  556.014922 
Temperature ,  584.847045  584.794698  584.660213  584.399169  583.929807  583.121690  581.781543  579.640805  576.349506  571.544866  558.534532  556.143913 
